draft,teams,rounds,scoring,my_slot,n_observations,predicted_mean,actual_mean,brier,bias
3f0d04558b6e,10,15,std,3,840,0.910654794942478,0.8595238095238096,0.0782163295698355,0.0511309854186684
b78910a2b896,12,15,half_ppr,12,840,0.9173562207633096,0.8380952380952381,0.0572834617916389,0.0792609826680715
efae8aa288a0,12,15,half_ppr,12,840,0.9422633389845536,0.8690476190476191,0.0563130450648613,0.0732157199369344
fcc27074d4b8,12,15,half_ppr,12,840,0.9388727739606711,0.8690476190476191,0.0644435538128482,0.069825154913052
